Id	EssaySet	Score1	Score2	EssayText
18	1	0	0	The additional information I would need is to come up with an hypothesis to predict which sample will have the highest mass in acid rain. After that I will have to come up with my dependent and independent variables so I can tell and see each one is different in mass. I will organize the data to see if the information is accurate. Then I will write the conclusion to see if my hypothesis was correct and to see if my results were correct.
19	1	0	0	In order to replicate this experiment I would need a scare in order to get the mass. Next, I would need tape and markers to label the containers. Last, I would need all 4 samples and graduated cylinders as a container to replicate this experiment.
20	1	3	3	In order for the me to replicate their procedure, I would need to know what four samples they used, they should include that in their procedure. Also they should stay  where you are to put the four containers during the 24 hour time period finally, they should include what type of vinegar or what brand so that when i were to do this experiment, I would in as close to what they actually did, and therefore would be able to replicate the experiment.
21	1	0	0	You would need to have four seperate but identical containers. you would also need to pour in each of them Vinegar to determine the mass of the items being placed in them. And new items would be needed to be placed in each of the containers.
22	1	2	2	Inorder to replicate the experiment, I would need to know the mass of the four different samples, how much vinegar to pour into the containers, what the samples were made up of, and how much water to rinse them with after the 24 hours.
23	1	0	0	The students data needed to include how much of the solution was poored. They also needed to find out if the rocks weighed the same when they started.
24	1	3	3	For this experiments duplication, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.
25	1	1	1	Some additional information that I would need is the amount of vinegar they poured.
26	1	2	2	After reading the groups procedure I would need to know what type of vinegar they were using because it could of been any type, what was the measure of containers because the containers could have been 3 different sizes and they wouldn't have valid results, and they also should have told me what they were holding constant because I wouldn't know what variables to use or control.
27	1	2	2	They needed to include what time they started and when they ended. Also the amount of vinegar they used. Also the size of each sample.
28	1	0	0	1). Get 4 different samples: marble, limestone, wood, plastic. ^p 2). Put each sample into 4 different containers. ^p 3). Pour vinegar in each of 4 separate but identical containers. ^p 4). After 24 hrs remove the samples from the container and rinse each w/ distilled water. ^p 5). Allow samples to sit and dry for 30 min. ^p 6). Determine the data of each sample. ^p 7). Record your data.
29	1	3	3	In order to replicate this experiment, you would need to know what the samples were. In this group's procedure, they do not state what
31	1	2	2	I additional information that I would need to replicate the experiment is to add where your going to leave the samples for 24 hours. Another one that they would need to add in order for me to replicate the experiment is to clearly state the independent variable. I would also need them to state how much vinegar to pour into each seperate but identical, container.
32	1	0	0	You will need a timer to determine the time that the vinegar dryed up.
33	1	3	3	For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''
34	1	3	3	To replicate the experiment I would need to know the samples that I will be using. I would also need to know how much vinegar to use. I would also need to know what type of containers to use.
35	1	1	1	In order to replicate the experiment.You would need to know how much vinegar to pour ,you need to know how much distilled water and you aso need to know how your going to weigh it.
36	1	2	2	Well I would need to know what the problem statement is. I would need to know what type of cups we are using.I would need to know the amount of vinegar we are using. And I would need to know if the amount of vinegar in each cup will differ.
37	1	2	2	In order to replicate the experiment i would need to know how much of each material is used before i go and find the mass. I would need to know how much vinegar to pour on each material. Although they show the materials in the data take they should still list them in the procedure.
38	1	0	0	I will need to know what's the purpose for this experiment, know the difference in mass for each sample, and I need to know an esimate of what they thought the starting and ending mass was.
39	1	1	1	They should add how much vinegar to add to each sample. For this lab to be more accurate they should have also added more trials as well as adding a constant variable such as a rock in just water.
40	1	2	2	In order to replicate this experiment I would need to know, first how to calculate the mass of the samples. I would also need t o know what the four samples are, as if is not stated in the procedure. Lastly to repeat this expirement I would need to know how much vinegar was placed into each container.
41	1	1	1	Additional information that would be needed to replicate the data would be what equipment is needed for the experiment,what materials are going to be used,and how much of each material will be used?
42	1	3	3	In order to replicate this experiment:you would need to know the amount of vinegar to pour in the container. You also need to know what to pe of coniainer to pour the vinegar in. Also, you need to know how much or how long to rinse the samples with distilled water.
43	1	3	3	After reading the procedure i would  first need to know what the for sample are that i am testing second i ^p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rinse each sample in distiled water.
44	1	3	3	Determine what the different samples are, then state how much vinegar you would be adding to each sample. State how long you are rising the materials in water. (ex 5 minutes)
45	1	2	2	In order to replicate the groups experiment, I would need a lot of additional information. First of all, I would need to know what it is that they are using as the four samples (rocks bark)
46	1	0	0	I think the experiment should make the description more specific so as not to be confused and mistake cups.For instance , they could say "each of the cork samples", and "place sample  into cup labeled 'A'"
47	1	2	2	One extra thing that needs to be included is what material or object the four samples are of another thing not included is the amount of vinegar needed to put in each containers. The words "A sample" doesn't specify the exact amount of each rock are needed. A repetition of this experiment is needed to verify the results.
48	1	0	0	There could be more than 1 test for each sample. There could also have a constant added to the expariement. Also, there are to softy instanchings in the experiment like put on goggles before eyes where gloves when touching the vinegar
49	1	0	0	They should take more notes, that way, in case they mess up, they can have a the information how to redo it.
51	1	1	1	In order to replicate this experiment, I would need to know what the different mauterials were. I would also need to know how many different materials there were and what the starting mass of each material was.
52	1	0	0	In the experiment  I would determine the mas of each sample pair the  vinegar into a container then label. I would wait 24 hours then pour out the vinegar and nose out with water. Let the samples dry and find the mass difference
53	1	2	2	In order to complete this experiment, three aditional thing should be included. The first is the amount of vinegar to pout in the cup. The second is to list the far samples in the procedure. The third is to record the information obtained.
54	1	2	2	In order to replicate the group's I would need to know how much vinegar to pour in each of the four and how long  containers, how much the sample you need to add you need to rinse the samples.
55	1	2	2	The procedure needs to state the four types of samples it is using, (marbles, limestone, wood, plastic). You need to determine how much vinegar you are pouring into each cup. You need a set amount. You could also do the time at different times. So you could do it at is at 30 and at 45 minutes to see if there is a change at all in the mass over time.
57	1	0	0	To repeat this experiment you would need to get the average that was used in the last procedure and let it sit for twenty eight hours instead of twenty four then rinse and record the changes in mass.
58	1	2	2	We need to know the exact amount of vinegar going into each container, to make sure that each sample fair results. We also need to have a set starting mass so all of the samples have the same amount or the results will not be reliable. We also need to know what kind and how big the containers are, because results may be unreliable if the containers for the samples have all different volumes and shapes.
59	1	3	3	Some additional information that you would need is how many vinegar are you pouring in. Also in step 3 it says add a sample of each material. We need to know how big the sample would have to be. Something that could effect the data could be what temperature are you putting this experiment in, is it room temperature, we need to know this.
60	1	3	3	To replicate the experiment, the procedure would require more detail. One piece of information that is omitted is the amount of vinegar used in the experiment. It is also important to know what temperature the experiment was kept at during the 24 hours. Finally, the procedure needs to include details about the experiment, for example if the whole sample must be submerged.
61	1	1	1	You would need the amount of vinegar being poured into each of the caps. That because the experiment only tell you to "pour vinegar" but when people read if they might not know how much vinegar to put.
62	1	3	3	This group left same very important thing out of their procedure. First of all they didn't tell us what sumples to use for the experiment. They didn't tell us how much vinegar to use or what size containers we would need all of this information to replicate this lab.
63	1	1	1	You would need the name of the four samples you are using to make a table to record data. Write down you need to record the starting mass, ending mass and difference in mass.
64	1	0	0	Some additional information i would need is how they found the mass and what type of instrument was being used. Also when they say place a sample of the material, how much of each type am i going to need.
65	1	0	0	First of all you'll need to measure the container bxitsals and subtract it from weight of the samples so you don't accidently have extra weight. Calculate the time diffrence it took to prepare them. Use the same weight of each sample.
66	1	0	0	To exactly replicate this experiment you would have to know, how they measured the mass of the object, because without that how would we figure out the different masses. We have to know the starting mass, the ending mass and the difference in mass.
67	1	1	1	After reading the group' procedure I did not know how much vinegar they would be pouring into the containers. This group also did not state the starting time at which they added the vinegar. This group also did not state the reason the data, they just said to determine it.
68	1	2	2	I would need the amount of roch in each container. I would need the amount of vinegar of r container. I would need the same kind of vinegar in each container. I would need all of this additional information to replicate this repricant.  I would also need the amount trials done.
69	1	3	3	1.A list of materials and safety requirements. ^p 2.The amount of vinegar to put in the containers. ^p 3.The temperature of the room/vineger ^p 4.A control group.
70	1	1	1	Additional information you need in order to replicate this experiment is a control group. A control grap  should have no effect on the sample and is needed so you can base your answers off reliable sources. Also in order to replicate this experiment we need to know the amount of vinegar we are putting on the sample. We also would need to know.
71	1	1	1	What you would need is the imformation on how much vinegar is added to every sample. For example, one sample can be in a different amount of vinegar. So that can throw their ending masses off.
72	1	2	2	We would need to know what samples they used for the experiment they just say "samples". We need to know how much vinegar they poured into each cup and we would need to know what units to measure the mass of the samples with. They would have to specify that we should weigh them using grams.
73	1	0	0	What the group of students did was determine the mass of different samples. So what I would do : what they did in the beginning or the investigation I would use the samples and do another experiment with the samples.
74	1	1	1	On statement 2, They need to put the measurement of the containers ^p On statmen 4 how much water? ^p On number 6 whats the measuremt were suppost to use for the mass.
75	1	1	1	Some additional information for their procedure would be to use the same amount of vinegar for each container. Also make sure the times are all on for each sample. Also measure the mass after it drys and find your difference from its starting mass.
76	1	3	3	In order to replicate ta experiment, a person would need to know a few more things. They would need to know which substances to use & how much of each one. The person would need to know how much vinegar to put in the container. They would also need to know what temperature to put ta containers in. One might also want to know what type of container, how to write down the findings.
77	1	3	3	You would need to know how much vinegar was placed in the container. What type of samples you were measuring and placing in the container and the temperature at which they were storing at to ensure equal experiment.
78	1	0	0	Additional pieces of information that shuld be included in the procedure would be, with with what would you be using to determine the mass such as a scale, have the controlled variable evident in the procedure, one last thing that should be to move a table of the starting mass, the endingmass, and the difference in mass using grams.
79	1	1	1	To replicate this experiment, you would need to know how many ml of vinegar is poured into each container. You would also need to know how much distilled water was supposed to be poured onto the samples. Also, you may want to have the starting mass of each samples be the same.
80	1	1	1	In order to replicate this experiment,I would need to know 3 more things that weren't stated in the procedure. I would need to know the amount of vinegar poured into the container,the amount of time the samples were in the vinegar and the amount of distilled water used to rinse it off.
81	1	3	3	The additional things that I would put are the procedures in what find at temperature they left the containers in. I would also include the samples of what I am testing in the experiment. Lastly, I would also put in my procedure, how much  amount of vinegar they are putting in.
82	1	2	2	In order to replicate this experiment, you must be able to know what the four materials are, how to measure the mass, how much vinegar should be poured into the containers and how much distilled water should they rinse it with. They should start by saying, d determine the mass(put the tripple beam balance), of the four diff. samples(name them), then pour vinegar(how much) into containers, then these step of step 4, wash( how much distilled water, and it would be better.
83	1	2	2	In order to replicate this experiment you would need to know the size of the containers that you would place the sample in, you would need to know the amount of vinegar putting in each container, you would need to know what to use to measure out the mass (for example, tripple beam balance, etc) and you would also need to know the material to use to place each sample in the containers.
84	1	0	0	You got to put more Vinegar in wood so it make no different in mass in plastic out a little not more Vinegar so it could do more reaction.
85	1	1	1	Another trials, the amount of vinegar used and no changing of time to make sure it's accurate. Because if not youill change the experiment. By changing the most important things.
86	1	3	3	To replicate this experiment one must know information that is not given by the procedure. First, we must know how much vinegar to put into the containers, enough to cover them? Next, we need to know how the vinegar will affect the material. Will  we completely submerge it or only partially? Finally, we need to know which materials to use. The data indicates them, but the procedure does not.
87	1	0	0	Three additional pieces of information  I would need to replicate the procedure are to gather materials, use a control, and when it's finish to record the data.
88	1	1	1	In order to replicate the experiment you would need to know several more piecesof information. One of them being the amount of each material (wood, plastic, marble and limestone). You would also need to know how much vinegar to add. Finally, a constant for each material would alsohelp.
89	1	0	0	The independent varriable is the imarble, limestone wood, plastic.The marble starting point was 9.8g. The limestone was 10.4g and wood starting point 11.2.The end of the exeperiment is that you have to determine the mass of each sample.
90	1	2	2	Additional information that could be useful in order to replicate the experiment would be to list the actual samples in the procedure so you can see what your using. Secondly, in the procedures I nade need to what to weigh the mass in, for example, they didn't tell you to weigh in grams and I wouldn't be able to complete the experiment easily. It doesn't tell how much vinegar to actually pour into each container in order to replicate, I would need to know that.
91	1	3	3	I think that knowing the temperature in the envoment would be very useful, I'm sure it we heated the samples or froze the samples, we wouldn't get the same results. Also, we need to know what type of environment we should place this in. Should it be sunny, dark, windy, hot, cold, etc. I also think we should know what kind of container and how large it should be, we don't even know the right amount of vinegar to pour on the samples. This experiment is missing too much information.
92	1	0	0	In order for I for  replicate this expirement I woukd need to know what are the reaserching with this expirement what kind of result are  being booked at and the mass of each sample at the end of expirment  theie results.
93	1	3	3	In order to replicate the experiment you would need to know how much vinegar to pour into each container. You would need to know how long to rinse each sample with distilled water and using how much water. You would also need to know how they determined the masses of the samples both in the beginning and end of the experiment, and they exact size of the containers that the samples are being placed in.
96	1	0	0	In order to replicate this groups procedure, you would need to know the independent and dependent variables as well as the control group for the procedure. Also, to ma ke it more clear, they would need to include a hypothesis of the experimenting well as a purpose.
97	1	3	3	In order to replicate the experiment, the procedure would have to add more details. In the first bullet, the four samples should be stated as marble, limestone, wood and plastic. You should describe the containers where to put the samples and how much you need. There should be a step where you find the starting mass before the experiment. Also there should be measurements of how much vinegar should be added. One last thing, is when you say to determine the mass on the procedure it should say,in grams.
98	1	1	1	They should have told the samples that was used. The second thing was the outcome, what happened to the differ.
99	1	3	3	The students need to say what  the samples are. They need to
100	1	2	2	The group should of added the amount of vinegar used for control. Also they should have compared at least one more trial material before reply 2conclusion.The recommended sizes of the samples should have also been stated in order for the conclusion to be easy to compare with other group attempting to complete this experiment.
101	1	3	3	Additional information I would need to replicate this experiment would be the actual names of the samples. In step 2 I would need the exact amount of vinegar to pour into each container. Also in step 4 I would need the amount of distilled water to rinse it off with and for how long.
102	1	2	2	In order to replicate this experiment, some additional information I would need is how the grap determined the mass of the samples and what did they use to do so. I would also need to know the amount of vinegar they used to pour in each container as well as what kind of containers they used.
103	1	1	1	First off these groups of students forgot to addd in step 2 how much vinegar in going to be poured in each identical container. In step number 5 the students did not say to organize the samples so you can record it as separate data because each sample is different (marble, limestone, wood, plastic). The students also forgot to include step 7, which is find the differences in mass. If another group of students were going to do this exact experiment they wouldn't know what they are comparing.
104	1	2	2	If i was doing this experiment i would have taken the temp. of the room, i also would have given a measurement of how much vinegar i used.
106	1	1	1	The additional information that is needed it the amount of vinegar being poured into each cut. Also you need to record all the information. They need to know how much water they are putting into the containers after 24 hours.
108	1	3	3	In addition to the information given, you would also need to know how much vinegar to put into each container,different amounts could change the results. There should also be a set temperature to keep the samples at, because change in temperature can affect the corossion process. In the experiment, it should have told you the samples should be somewhat even size.
109	1	1	1	Additional information that is needed in order to replicate the experiment is the measur ments of the liquids poured into the cups. Also wat size cups are the liquids poured into. In the procedure it says "pour vinegar in each of four separate, but identical containers". That is the additional information that is needed in order to replicate the experiment.
110	1	0	0	Some additional information they could have added was they they should have weighed the sample before they put 4 in the vinegar.
111	1	0	0	For each box, they should have done it 3 times so they would have an average.
112	1	1	1	I would need to know what materials i am getting to begin this experiment. What should i be looking for when experiment is going on? How do i determine the mas of each sement.
113	1	1	1	Some additional information you would need to replicate the experiment is in the proceeduce include, what type of samples your using, also do explain why you are using vinegar. Finally, to tell the reader what your weighing with and why.
114	1	2	2	If I was to replicate the experiment I would need to know the amount of vinegar in each container, the size of the containers, and what was used to weigh the samples.
115	1	1	1	In order to replicate this experiment, you should know how much of each sample you were supposed to start with, what you were trying to determine from this experiment and you should know how the containers were kept room temperature outside etc.
116	1	0	0	In order to replicate this this experiment youwould need the starting mass, ending mass and difference in mass.
118	1	0	0	Your going to need how much is there in total.
119	1	0	0	Pour vinegar in each of the four separate but identical containers.^p Place one sample in a conteiner and do the same for the rest, ^p After 24 hrs remove sample and rinse ^p Sit and drt for 30 min. ^p determine the mles.
121	1	1	1	To replicate the experiment, I would give the required tools in a list so people can be more prepared, I would also be more specific on the word "samples" to describe rocks and stones. And most importantly I would make a control, I would put marble, limestone, wood and plastic in water.
122	1	2	2	In order to replicate the experiment, i would need some additional information. First of all i would need to know how much vinegar to use in each container. Second of all i would need to know the materials i would be placing in the vinegar.
124	1	1	1	You would need what semples there, what you do after number 6.
125	1	0	0	It would have been better to have had three trials for the data and to have an average for the data. Also a total of the data could have been better too.
126	1	3	3	First you would need to know what the samples are that they are talking about. Next you would need to know how much Vinegar you need to put in each container. you could also need to how long you should rinse each sample.
127	1	0	0	The additional information I would need to radicate the experiment I would explain the look of the outcome of the experiment. I would put "After 24 hours, remove the samples from the container & rinse each sample w/ distilled water. "Allow the samples to sit and dry for 30 minutes. Instead of putting "Determine the mass of each sample". I would tell you the outcome on what happened and how the experiment turned out.
128	1	0	0	I will need to add on them subtena by how many number their are. The sample has the amount of four layers it is to divide by eight.
129	1	1	1	In order to replicate this experiment, a control would need to be established. Also, a mass would need to be determined so that every material had the same mass at the beginning of the experiment. In order to accurately replicate this experiment, it would help to know if the containers were covered or uncovered for the 24 hours.
130	1	3	3	We would word correct safety measures to take,the control,the effect of vinegar,what temperature to store them at,what the identical containers are made of and its size,what type of scale to use to meas it,the amount of vinegar in each container,i more trials
131	1	3	3	In order to replicate this experiment, there are a few more things I need to know. The problem does not state what the four different samples are. Second, I would need to know how much vinegar to pour in each cup. The amount of vinegar could impact the mass. Last, I would need to where to store the samples for the 24 hour period. Different tempuratures might affect the different samples.
132	1	2	2	this question would need to include the measurement of the containers & the amount of vinegar poured in each cup.
133	1	2	2	In order to replicate this experiment, i would need to know what she containers to use and how to measure the mass of the samples. I would also need to know how much vinegar to put in each container.
134	1	0	0	You would need to know the portions of what they used as not to ruin the experiment, or not usin enough or too much may not give you the same results.
135	1	3	3	In order to replicate the lab, the students did you would need to know what materials were need. What kind of area are you going to do the lab in and how much vinegar you need to pour into the samples.
138	1	3	3	After reading the group's procedure, additional information that a would need in order to replicate the experiment are that a need to know the size of the containers that the samples are put in, for they need to be identical. U also need to know tha amount of samples u need to put in each container in order to obtain tha same starting mass the group of students recieved from the samples. Another factor a should know is the amount no vinegar that u pour into the containers concerning the oud example of the experiment. Another good peice of information would be the location where the samples are drying and amount of sunlight.
139	1	3	3	Some additional information needed would be where the containers are to sit. Such as in the sun or in the refrigerator. How much vinegar are we putting into containers and what kind of containers are using?
140	1	2	2	The students should say in the experiment what samples are being used. They should also say how much water they should use when they are distilling the sample and they also need to say how much vinegar they are pouring into each labeled cup.
141	1	2	2	Three additional pieces of information that I would need to know to replicate this experiment would be what exactly the four samples are of, how much vinegar to pour into each container, and what exactly the purpose or problem statement for this experiment was.  Also, how much distilled water I would need to use.
142	1	2	2	In the procedure, i would also need to know how much vinegar to use, which scale of measure they are using and how big each container is.
144	1	3	3	To replicate this  experiment you would also need to know vinergar they used, the size of the cup and the the size of the samples.
145	1	2	2	After reading the procedure there were a few things I need to know to replicate the experiment. One thing is the amount of vinegar used. Another is How much water to use when rinsing it. The last thing is how to store the samples for 24 hours. There were a few problems with this procedure.
146	1	3	3	I would the amount of vinegar that should be put into each cup also should the containers be covered or not? It would be helpful to know what type of containers should the materials be put into.
147	1	1	1	I need to know how big the container is & how many of them.
148	1	2	2	What are the samples/what is the material use how much vinegar is poored in the containers.
149	1	0	0	The students should have made a hypothesis of what they thought was going to happen. Also they should have stated what they were investigating. They should have made a conclusion from the results.
150	1	1	1	In order to replicate the experiment, you would need additional information like how much vinegar was poured into the separate containers, what tools to use such as safety goggles, and having more trials.
151	1	1	1	They needed to add what the samples were how the mass should be determined,they need to tell you to table the containers, and you need to record tour data.
153	1	3	3	To replicate this experiment, you would need to know the volume of the vinegar in the cup, the temperature of the surroundings, and the exact acidity of the vinegar on the ph scale.
154	1	0	0	To replicate the group experiment you would need to add information even as if the lab is valid.
156	1	0	0	Some additional information would be how much of each sample would be put into the vinegar. Also, maybe not have then sit for 24 hours, but hav then sit less. They could also have rinsed them with replica water instead of distilled water.
157	1	2	2	The additional information necessary to replicate the experiment are: ^p 1.)The amount of vinegar to pour - this must remain constant in a credible experiment. ^p 2.)The types of samples used should be in the procedure. ^p 3.)
158	1	1	1	To replicate the experiment, you would need to find out how much vinegar to pour into the containers. We know that marble lost 4 grams, limestone lost 1.3 grams, plastic lost 1 grams and wood stayed the same, but we need to know how much vinegar was used for each sample.
159	1	0	0	We had all the information we need to do the experiment, we allready know that wood is the one that has more mass out of all of them and that plastic is the least one but maybe if they would've explained it better to be able to complete the mass, because it looks like they only have estimates for the mass.
160	1	2	2	The additional information you would need in order to replicate the experiment is the difference in mass from the beginning of the experiment to the end of the experiment. You'd also need to know what all the samples were and would need the same amount of vinegar in each container.
161	1	1	1	To replicate the groups procedure I would need for them to tell the reader how much vinegar to put in the containers, how much of one sample material do they want, and how they want us to determine the mass.
162	1	1	1	There are a couple additions that should be made to replicate the lab accurately. In procedure 1, it does not say to measure the mass of the samples wi or without a petri dish. It also should say that they should be measured with a particular instrument, such as balance beam. Another part that was left out was that they forgot to tell how much vinegar the four samples need, because if one gets more than another, it might change the weight and how much water torince the samples with.
163	1	1	1	You would need to tel what type of samples they are. Also, what type of untensil to use to measure the mass of the samples. Also, would need repeat or replicating trials to re-test the experiment. Or you ll also need to tell what to label the containers by in this experiment, you 'll also need to reach the mass or how each sample looks by using your five senses, or whatever or not to make a data same to show your results.
164	1	2	2	In order to replicate this experiment I would need to know what kind of ''samples'' I am using. The group states to determine the mass of four samples but does not tell me what kind of material these samples are. Also it would be helpful to know how much of each sample I should measure. Again this groups procedure is very being detail and it would help to make the experiment as accurate as possible, to know how much of the sample I should be using. Finally in order to replicate this experiment I would need to know how much vinegar I should add to each sample. Different amounts of vinegar will affect each sample differently, making the experiment inaccurate.
165	1	2	2	In order to be able to duplicate this experiment, you need the following information: How much vinegar to use. Also how big are the containers i.e what is what is their volume. And lastly how much of each sample to put into the containers.
166	1	1	1	Additional information I would need is how much vinegar was put onto each sample. This is because, if more vinegar is put on one sample than another it will most likely after the mass in different ways: for example if more vinegar is put on wood than plastic then wood will have more mass lost than the plastic would.
167	1	0	0	In order to deplicate this experiment, you would need to state exectly how much of a certain chemicals you need to pour. In most cases, it is imperative that you get the right amount of a substance or your results may be difficient.
168	1	3	3	To repeat this experiment, I would need to know the four different  samples without knowing that I don't know what I'm testing. I also need to know how much vinegar in each of the 4 cups. I would need to know where to put all of the different containers. I don't know if they need to stay at room temp, cold or not.
169	1	0	0	You should repeat each step in the experiment. Start with step 1 and go all the way to step 6.
170	1	1	1	To replicate this procedure you would need to know how much vinegar to pour into each of the containers. You would also need to know when you started to know when to finish the experiment.
172	1	2	2	After reading the group's procedure in order to replicate the experiment, I would need to know the size of the containers because the smaller the container, the more densely packed the samples are. I would also need to know whether or not light and heat or dark and cold will affect the experiments.
174	1	3	3	In order to replicate this experiment, I would need to know additional information such as the four different samples that they used (because I could have choosen metal, carbboard and many other sample materials that they didn't use and would get different results. Also I would also need to know the amount of vinegar to pour because this can caute a major change. Lastly, they might want to tell where to sit the samples while they dry for 30 minutes because if they are sitting in room temp. or by a light source makes a difference too.
175	1	1	1	To replicate the experiment, they would need to tell you how much vinnegar to put in the cups, have all the rocks way the same and tell us why they are doing the experiment.
176	1	2	2	To replicate the procedure i would need to know the amount of vinegar needed, how much distilled water needed to rinse the samples and the type of samples.
177	1	2	2	These students procedure was not  a reliable one. The material needed to mention what kind of material they uses. Is there only reducing to ism the "sample." They also needed to know how much vinegar to pour into the cup. The material also that not  include in control groups. which is a centered post or any experiment. They student variable unchecked. They also included only the trial.
178	1	1	1	I would need to know the amount of vinegar  added to each sample which have to be the same replicate the experiment.
180	1	1	1	The group needs to add what to label because
182	1	3	3	First, you would need to know exactly how much vinegar to pour into each of the identical containers. You would also need to know what the size and material the container is made out of. Lastly, they should tell you where to leave the containers such as in the sun, in a dry, cold place etc.
183	1	2	2	-In step 1, we need to know what samples. It should list the 4 types of rock. ^p -In step 4, how long should the samples be rinsed for an amount of time should given. ^p -In step 6, it should say to correct the new mass of each sample.
184	1	1	1	The procedure is not clear, they need to say the sample names because we don't know what it is. Also, they need to say why to measure the mass of the four different samples before putting it in the vinegar. Finally, they should repeat the experiment a several times so to see the difference and maybe they should keep the sample in the container for a longer time to see the results.
185	1	0	0	We would need observations during the whole experiment , maybe repeats of the experiment to see if anythings changed. Also try another sample.
186	1	2	2	The experiment is lacking several pieces of information about the procedure. For example the amount of vinegar added to the containers is not described. The method of determining the mass as well as the four sample materials, has not been specified in the procedural information.
187	1	1	1	1. I would have to know what kind of area I would have to leave it in for 24 hours. (temperature) ^p 2. I would have to know what kind of wood to use, if there has any specific. ^p 3. Also in step 6, it does not say what I have to use to determine the mass of the rocks, plastic and wood.
188	1	3	3	In order to replicate the experiment, you need to know what the samples are taken of, what size the samples should be, what size the containers should be, and how much vinegar is to be used on each sample.
189	1	0	0	In this group's procedure, some additional information should've been what were the labels named.
190	1	2	2	Additional information you would need would be a control to see what would happen to the mass with out vinegar. You would also need to  know the size of the containers and how much vinegar you would use.
191	1	0	0	In order to replicate the experiment i belive that the information wanted would be the starting rows, ending mass, and difference in mass. The additional information in my opinion would be how the structure changed throughout the procedure.I f you were to record this data at because the procedure would be successful to see the difference on mass in four samples
192	1	0	0	I think that they should have did the project more than once probably about two more times to see if there project was right and they also should have written out there conclusion as well as putting it on a graph.
193	1	0	0	In the procedure you would need to add the time in which the stone / rock / plastics began to change when vinegar was added to them. They could have to explain when they would change or what time for each one :marble, limestone, wood and plastic. In the procedure it only explained "After 24hrs" but they didn't write down the time difference for each one they only put the overall time.
194	1	1	1	After reading the groups procedure,i found 2 more additional pieces of informotins so that i can duplicate the experiments. I need to know the independent variable, dependent variadle and how much vinegar to pour into each seperate containers.
195	1	3	3	After reading that group's procedure one additional piece of information you would need to replicate that experiment is what the four different samples were. Another thing you would need to know is how much vinegar you should put in with each sample. The last piece of additional information you would need is how big each of the samples should be.
