student	Q#	answer	G1	G2	G3
7ccb1939-c715-4d99-966a-a83446496fcb	15	1783	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	16	civil war	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	17	franklin delano roosevelt	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	18	mississippi	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	19	texas	-1	-1	-1
7ccb1939-c715-4d99-966a-a83446496fcb	20	to represent the original 13 colonies	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	1	the first ten amentmends to the u.s. constitution.	0	0	0
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	2	freedom of speech.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	3	announced america's seperation from great britain and explained why.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	4	capitalism.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	5	executive.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	6	the u.s. congress.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	7	because they have more people living there.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	8	the secretary of state.	0	0	0
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	9	the right to raise an army.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	10	the right to raise a militia.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	11	vote.\nrun for office.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	12	21	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	13	to find religeous freedom.	1	1	1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	14	various grievances including taxes, no representation, impressment of seamen.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	15	1782	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	16	war of 1812	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	17	franklin delano roosevelt.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	18	the mississippi.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	19	texas.	-1	-1	-1
b0984c45-ecf5-44b2-89d9-83bbefc5bbae	20	the stripes represent the 13 original colonies that signed the declaration of independence.	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	1	bill of rights	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	2	to bear arms	0	0	0
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	3	say the colonies will no longer be subjects to the crown of england	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	4	capitalism	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	5	executive, legislative, judicial	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	6	legislative and executive branches	1	1	0
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	7	because the contain a higher population	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	8	the speaker of the house	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	9	the right to declare marshal law	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	10	to interprete the constitution as it sees fit	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	11	vote and speak your opinion	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	12	18	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	13	religious freedom	1	1	1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	14	they were too unfairly taxed on matters that did not concern them	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	15	1774	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	16	spanish americna war	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	17	theodore rosevelt	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	18	mississippi river, nevada river	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	19	texas and arizona	-1	-1	-1
0b1e2160-c604-4e42-9e74-f28ffbdde6b9	20	to represent the 13 colonies.	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	1	bill of rights	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	2	freedom of speech.	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	3	made the us independent from britain.	1	1	0
7c30f761-3d2e-4d7c-9662-bc65e0296be8	4	capitalism	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	5	judiciary	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	6	congress	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	7	it is based on the population of the state.	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	8	speaker of the house	1	1	1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	9	death penalty.	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	10	collect taxes.	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	11	by voting and by paying taxes	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	12	18	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	13	gold	1	0	0
7c30f761-3d2e-4d7c-9662-bc65e0296be8	14	america and the british argues to whom the land belongs.	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	15	1776	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	16	war of 1812	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	17	president roosevelt	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	18	mississippi river	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	19	texas	-1	-1	-1
7c30f761-3d2e-4d7c-9662-bc65e0296be8	20	to represent the 13 colonies.	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	1	bill of rights	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	2	freedom of speech	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	3	declared independence from britain	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	4	capitalism	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	5	judicial	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	6	congress	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	7	they have greater population	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	8	speaker of the house	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	9	declare war	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	10	education	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	11	vote and run for office	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	12	18	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	13	religious freedom	1	1	1
6552d902-0831-4976-814f-3e1216d9295e	14	to get political freedom	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	15	1778	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	16	war of 1812	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	17	roosevelt, franklin	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	18	mississippi	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	19	texas	-1	-1	-1
6552d902-0831-4976-814f-3e1216d9295e	20	13 original colonies	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	1	its on the tip of my tongue but i can't think of it right now.	0	0	0
7126711d-20bb-4f07-a9b9-830444330cd9	2	life	0	0	0
7126711d-20bb-4f07-a9b9-830444330cd9	3	declared the colony's independence from britain.	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	4	capitalism	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	5	executive, judicial and legislative.	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	6	legislative branch	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	7	larger population.	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	8	speaker of the house.	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	9	declaring war.	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	10	specifying marriage laws	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	11	vote. run for office.	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	12	16	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	13	religeous freedom	1	1	1
7126711d-20bb-4f07-a9b9-830444330cd9	14	unfair taxation.	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	15	1776	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	16	civil war	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	17	eisenhower	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	18	missisippi	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	19	texas	-1	-1	-1
7126711d-20bb-4f07-a9b9-830444330cd9	20	for the original 13 colonies	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	1	the bill of rights.	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	2	right to pursue happiness.	0	0	0
d56b8f17-793b-491e-8f83-815667698f42	3	declare intent to separate from britain.	0	0	0
d56b8f17-793b-491e-8f83-815667698f42	4	capitalist	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	5	judicial	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	6	congress	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	7	population	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	8	speaker of the house	1	1	1
d56b8f17-793b-491e-8f83-815667698f42	9	to charge taxes.	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	10	decide laws such as abortion	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	11	voting and speaking to their representative.	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	12	18	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	13	to grow tobacco	1	0	0
d56b8f17-793b-491e-8f83-815667698f42	14	because they weren't receiving fair representation in british government, but still paying taxes.	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	15	1786	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	16	mexican-american war.	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	17	fdr	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	18	mississippi and california rivers.	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	19	california	-1	-1	-1
d56b8f17-793b-491e-8f83-815667698f42	20	13 original colonies	1	1	1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	1	the first 5 are the bill of rights	0	1	0
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	2	freedom of speech	1	1	1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	3	stated that the american colonies were to be independent from great britain. gb no longer controlled the us.	1	1	1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	4	"we rely a lot on trade. ""made in china"""	0	0	0
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	5	legislative	1	1	1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	6	the senate?	0	0	0
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	7	the population is greater in those states	1	1	1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	8	the secretary of state.	0	0	0
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	9	the right to prosecute	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	10	the power to elect	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	11	vote and pay taxes	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	12	18	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	13	to escape taxes	0	0	0
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	14	england required too many tariffs/ taxes	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	15	1796	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	16	the civil war	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	17	fdr, truman came after during wwii	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	18	mississippi	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	19	texas	-1	-1	-1
8af0a9b7-392b-4820-afa1-fa3916d5ffc2	20	original 13 colonies	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	1	the bill of rights	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	2	the right to assemble	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	3	the declaration proclaimed the 13 colonies were free of governance of great britain.	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	4	laissez faire capitalism	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	5	judiciary	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	6	congress	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	7	depends on size of population	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	8	speaker of the house	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	9	declare war on foreign government.	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	10	create local militias	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	11	"vote in federal elections; pay taxes"	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	12	18	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	13	freedom of religion	1	1	1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	14	to have right to provide goods to europe without taxation	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	15	1787	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	16	mexican american war	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	17	franklin d. roosevelt	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	18	the mississippi river	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	19	texas	-1	-1	-1
b68f830f-e8a3-47d6-97f4-ffa2d7d2d697	20	to symbolize the original 13 colonies	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	1	bill of rights	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	2	freedom of religion	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	3	declared the thirteen american colonies to be independent from british governance.	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	4	capitalism/consumerism	1	1	0
03bb4d3d-ea7b-4701-95b8-74c092da5629	5	judicial	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	6	congress and senate	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	7	due to population	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	8	speaker of house	1	1	1
03bb4d3d-ea7b-4701-95b8-74c092da5629	9	taxation	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	10	any power not given to the federal government	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	11	voting and running for office	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	12	18	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	13	as a criminal punishment	0	0	0
03bb4d3d-ea7b-4701-95b8-74c092da5629	14	taxation without representation	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	15	1789	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	16	the war of 1812	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	17	fdr	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	18	mississippi	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	19	texas	-1	-1	-1
03bb4d3d-ea7b-4701-95b8-74c092da5629	20	they represent the first 13 original colonies (and thus states)	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	1	bill of rights	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	2	freedom of speech	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	3	granted us independence from britain	1	0	0
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	4	"\nmixed"" economy"	0	0	0
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	5	judicial	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	6	judicial	0	0	0
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	7	dependent on population of the state	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	8	speaker of the house	1	1	1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	9	the ability to create federal laws	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	10	to make and enforce laws	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	11	vote and protest	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	12	18	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	13	to create a new colony	0	0	0
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	14	for indepedence	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	15	1774	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	16	civil war	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	17	roosevelt	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	18	mississipi	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	19	texas	-1	-1	-1
c0ee2020-531a-46f7-b5c2-99e8a03b95e0	20	13 original states	0	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	1	bill of rights	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	2	right to bear arms	0	0	0
35a4d157-3b87-45aa-ba4c-892b14e6f004	3	declared the colonies' decision to become independent from british tyranny.	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	4	a combination of capitalism + command	0	1	0
35a4d157-3b87-45aa-ba4c-892b14e6f004	5	executive	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	6	congress	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	7	larger populations	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	8	the speaker of the house	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	9	regulation of commerce	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	10	all rights not explicitly given to the federal government	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	11	voting, protesting	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	12	never	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	13	to find better economic prospects	1	1	1
35a4d157-3b87-45aa-ba4c-892b14e6f004	14	they were not represented in parliament	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	15	1789	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	16	the civil war	-1	-1	-1
35a4d157-3b87-45aa-ba4c-892b14e6f004	17	franklin delano roosevelt	-1	-1	-1
